"name","clone_url","open_issues","url"
"files-find-used-content","https://github.com/byuitechops/files-find-used-content.git",3,"https://github.com/byuitechops/files-find-used-content"
"Instruction-Page-Templates","https://github.com/byuitechops/Instruction-Page-Templates.git",0,"https://github.com/byuitechops/Instruction-Page-Templates"
"reorganize-file-structure","https://github.com/byuitechops/reorganize-file-structure.git",0,"https://github.com/byuitechops/reorganize-file-structure"
"cm-adobe-zoom","https://github.com/byuitechops/cm-adobe-zoom.git",0,"https://github.com/byuitechops/cm-adobe-zoom"
"get-time-from-toggle","https://github.com/byuitechops/get-time-from-toggle.git",0,"https://github.com/byuitechops/get-time-from-toggle"
"quiz-rel-cleaner","https://github.com/byuitechops/quiz-rel-cleaner.git",0,"https://github.com/byuitechops/quiz-rel-cleaner"
"module-headings","https://github.com/byuitechops/module-headings.git",0,"https://github.com/byuitechops/module-headings"
"module-publish-settings","https://github.com/byuitechops/module-publish-settings.git",0,"https://github.com/byuitechops/module-publish-settings"
"ilearn-3-references","https://github.com/byuitechops/ilearn-3-references.git",0,"https://github.com/byuitechops/ilearn-3-references"
"set-navigation-tabs","https://github.com/byuitechops/set-navigation-tabs.git",1,"https://github.com/byuitechops/set-navigation-tabs"
"course-file-quicklinks","https://github.com/byuitechops/course-file-quicklinks.git",0,"https://github.com/byuitechops/course-file-quicklinks"
"delete-duplicate-files","https://github.com/byuitechops/delete-duplicate-files.git",0,"https://github.com/byuitechops/delete-duplicate-files"
"make-time-delay","https://github.com/byuitechops/make-time-delay.git",0,"https://github.com/byuitechops/make-time-delay"
"course-file-videos","https://github.com/byuitechops/course-file-videos.git",0,"https://github.com/byuitechops/course-file-videos"
"byui-link-generator","https://github.com/byuitechops/byui-link-generator.git",0,"https://github.com/byuitechops/byui-link-generator"
"delete-questions-and-conversations","https://github.com/byuitechops/delete-questions-and-conversations.git",0,"https://github.com/byuitechops/delete-questions-and-conversations"
"unpublish-lesson-notes","https://github.com/byuitechops/unpublish-lesson-notes.git",0,"https://github.com/byuitechops/unpublish-lesson-notes"
"course-make-blueprint","https://github.com/byuitechops/course-make-blueprint.git",1,"https://github.com/byuitechops/course-make-blueprint"
"canvas-look-and-feel","https://github.com/byuitechops/canvas-look-and-feel.git",0,"https://github.com/byuitechops/canvas-look-and-feel"
"blueprint-lock-items","https://github.com/byuitechops/blueprint-lock-items.git",0,"https://github.com/byuitechops/blueprint-lock-items"
"web-features-update","https://github.com/byuitechops/web-features-update.git",0,"https://github.com/byuitechops/web-features-update"
"disperse-welcome-folder","https://github.com/byuitechops/disperse-welcome-folder.git",0,"https://github.com/byuitechops/disperse-welcome-folder"
"find-quiz-regex","https://github.com/byuitechops/find-quiz-regex.git",0,"https://github.com/byuitechops/find-quiz-regex"
"target-attribute","https://github.com/byuitechops/target-attribute.git",0,"https://github.com/byuitechops/target-attribute"
"create-homepage","https://github.com/byuitechops/create-homepage.git",0,"https://github.com/byuitechops/create-homepage"
"puppeteer-add-maintenance-log","https://github.com/byuitechops/puppeteer-add-maintenance-log.git",0,"https://github.com/byuitechops/puppeteer-add-maintenance-log"
"ec3-quiz-design","https://github.com/byuitechops/ec3-quiz-design.git",0,"https://github.com/byuitechops/ec3-quiz-design"
"check-alt-property","https://github.com/byuitechops/check-alt-property.git",0,"https://github.com/byuitechops/check-alt-property"
"sync-d2l-groups","https://github.com/byuitechops/sync-d2l-groups.git",3,"https://github.com/byuitechops/sync-d2l-groups"
"assignments-delete-unwanted","https://github.com/byuitechops/assignments-delete-unwanted.git",0,"https://github.com/byuitechops/assignments-delete-unwanted"
"match-question-answers","https://github.com/byuitechops/match-question-answers.git",0,"https://github.com/byuitechops/match-question-answers"
"notes-from-instructor","https://github.com/byuitechops/notes-from-instructor.git",1,"https://github.com/byuitechops/notes-from-instructor"
"fix-broken-image-links","https://github.com/byuitechops/fix-broken-image-links.git",0,"https://github.com/byuitechops/fix-broken-image-links"
"header-project-math108","https://github.com/byuitechops/header-project-math108.git",0,"https://github.com/byuitechops/header-project-math108"
"course-list-tool3.0","https://github.com/byuitechops/course-list-tool3.0.git",2,"https://github.com/byuitechops/course-list-tool3.0"
